epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.73,1.28351,0.95239,1.27651,0.90569,0.88596,0.93816,0.68726,0.96949,0.52122,1.0338,0.00333101,0.00333101,0.00333101
2,601.475,1.15753,0.75318,1.16729,0.90486,0.87359,0.92713,0.65782,1.01319,0.59315,1.04934,0.00665774,0.00665774,0.00665774
3,899.336,1.20808,0.84585,1.2061,0.87623,0.83353,0.89352,0.62569,1.04723,0.75848,1.09317,0.00997788,0.00997788,0.00997788
4,1199.24,1.21605,0.86915,1.22264,0.89104,0.87907,0.92177,0.64843,1.0545,0.61335,1.10591,0.0099703,0.0099703,0.0099703
5,1501.22,1.16708,0.79672,1.19994,0.89655,0.88646,0.92989,0.66555,1.01332,0.59572,1.10523,0.0099604,0.0099604,0.0099604
6,1798.94,1.11996,0.73832,1.17505,0.92804,0.88463,0.94291,0.69241,0.95256,0.53309,1.05521,0.0099505,0.0099505,0.0099505
7,2095.6,1.09449,0.7064,1.1615,0.89448,0.92143,0.94893,0.70569,0.93856,0.50461,1.05909,0.0099406,0.0099406,0.0099406
8,2391.78,1.07632,0.67996,1.15437,0.9252,0.91175,0.95171,0.70982,0.92432,0.48173,1.04827,0.0099307,0.0099307,0.0099307
9,2687.6,1.04679,0.65376,1.13909,0.91999,0.9179,0.95681,0.72031,0.91771,0.47912,1.04745,0.0099208,0.0099208,0.0099208
10,2983.07,1.03299,0.6376,1.12743,0.91621,0.92258,0.95554,0.72429,0.89844,0.46077,1.03169,0.0099109,0.0099109,0.0099109
11,3278.41,1.02085,0.62335,1.12409,0.91953,0.9286,0.96176,0.73994,0.8752,0.43942,1.01924,0.009901,0.009901,0.009901
